puma2k,county,county_name,County_Subdivision_Name,Place_Name,Total_Pop_2010_census
100,6015,Del Norte CA,Crescent City CCD,"Bertsch-Oceanview CDP, CA",2436
100,6015,Del Norte CA,Crescent City CCD,"Crescent City city, CA",7643
100,6015,Del Norte CA,Crescent City CCD, ,13503
100,6015,Del Norte CA,Klamath CCD,"Klamath CDP, CA",779
100,6015,Del Norte CA,Klamath CCD, ,594
100,6015,Del Norte CA,Smith River-Gasquet CCD,"Gasquet CDP, CA",661
100,6015,Del Norte CA,Smith River-Gasquet CCD,"Hiouchi CDP, CA",301
100,6015,Del Norte CA,Smith River-Gasquet CCD,"Smith River CDP, CA",866
100,6015,Del Norte CA,Smith River-Gasquet CCD, ,1827
100,6035,Lassen CA,Big Valley CCD,"Bieber CDP, CA",312
100,6035,Lassen CA,Big Valley CCD,"Nubieber CDP, CA",50
100,6035,Lassen CA,Big Valley CCD, ,1121
100,6035,Lassen CA,Honey Lake CCD,"Doyle CDP, CA",678
100,6035,Lassen CA,Honey Lake CCD,"Herlong CDP, CA",298
100,6035,Lassen CA,Honey Lake CCD,"Milford CDP, CA",167
100,6035,Lassen CA,Honey Lake CCD,"Patton Village CDP, CA",702
100,6035,Lassen CA,Honey Lake CCD, ,1936
100,6035,Lassen CA,Madeline Plains CCD, ,339
100,6035,Lassen CA,Susanville CCD,"Janesville CDP, CA",1408
100,6035,Lassen CA,Susanville CCD,"Johnstonville CDP, CA",1024
100,6035,Lassen CA,Susanville CCD,"Litchfield CDP, CA",195
100,6035,Lassen CA,Susanville CCD,"Susanville city, CA",17947
100,6035,Lassen CA,Susanville CCD, ,6184
100,6035,Lassen CA,Westwood CCD,"Clear Creek CDP, CA",169
100,6035,Lassen CA,Westwood CCD,"Spaulding CDP, CA",178
100,6035,Lassen CA,Westwood CCD,"Westwood CDP, CA",1647
100,6035,Lassen CA,Westwood CCD, ,540
100,6049,Modoc CA,Adin-Lookout CCD,"Adin CDP, CA",272
100,6049,Modoc CA,Adin-Lookout CCD,"Lookout CDP, CA",84
100,6049,Modoc CA,Adin-Lookout CCD, ,478
100,6049,Modoc CA,Alturas CCD,"Alturas city, CA",2827
100,6049,Modoc CA,Alturas CCD,"California Pines CDP, CA",520
100,6049,Modoc CA,Alturas CCD,"Canby CDP, CA",315
100,6049,Modoc CA,Alturas CCD,"Daphnedale Park CDP, CA",184
100,6049,Modoc CA,Alturas CCD,"Likely CDP, CA",63
100,6049,Modoc CA,Alturas CCD,"New Pine Creek CDP, CA",98
100,6049,Modoc CA,Alturas CCD, ,2504
100,6049,Modoc CA,Newell CCD,"Newell CDP, CA",449
100,6049,Modoc CA,Newell CCD, ,627
100,6049,Modoc CA,Surprise Valley CCD,"Cedarville CDP, CA",514
100,6049,Modoc CA,Surprise Valley CCD,"Eagleville CDP, CA",59
100,6049,Modoc CA,Surprise Valley CCD,"Fort Bidwell CDP, CA",173
100,6049,Modoc CA,Surprise Valley CCD,"Lake City CDP, CA",61
100,6049,Modoc CA,Surprise Valley CCD, ,458
100,6093,Siskiyou CA,Butte Valley CCD,"Dorris city, CA",939
100,6093,Siskiyou CA,Butte Valley CCD,"Macdoel CDP, CA",133
100,6093,Siskiyou CA,Butte Valley CCD,"Mount Hebron CDP, CA",95
100,6093,Siskiyou CA,Butte Valley CCD, ,788
100,6093,Siskiyou CA,Dunsmuir CCD,"Dunsmuir city, CA",1650
100,6093,Siskiyou CA,Dunsmuir CCD, ,525
100,6093,Siskiyou CA,Etna CCD,"Etna city, CA",737
100,6093,Siskiyou CA,Etna CCD,"Greenview CDP, CA",174
100,6093,Siskiyou CA,Etna CCD, ,2501
100,6093,Siskiyou CA,Fort Jones CCD,"Fort Jones city, CA",839
100,6093,Siskiyou CA,Fort Jones CCD,"Greenview CDP, CA",27
100,6093,Siskiyou CA,Fort Jones CCD, ,981
100,6093,Siskiyou CA,Happy Camp CCD,"Happy Camp CDP, CA",1190
100,6093,Siskiyou CA,Happy Camp CCD, ,952
100,6093,Siskiyou CA,Hornbrook-Hilt CCD,"Hornbrook CDP, CA",248
100,6093,Siskiyou CA,Hornbrook-Hilt CCD, ,404
100,6093,Siskiyou CA,McCloud-Medicine Lake CCD,"McCloud CDP, CA",1101
100,6093,Siskiyou CA,McCloud-Medicine Lake CCD,"Tennant CDP, CA",41
100,6093,Siskiyou CA,McCloud-Medicine Lake CCD, ,267
100,6093,Siskiyou CA,Montague CCD,"Montague city, CA",1443
100,6093,Siskiyou CA,Montague CCD, ,2662
100,6093,Siskiyou CA,Mount Shasta CCD,"Mount Shasta city, CA",3394
100,6093,Siskiyou CA,Mount Shasta CCD, ,3597
100,6093,Siskiyou CA,Tulelake CCD,"Tulelake city, CA",1010
100,6093,Siskiyou CA,Tulelake CCD, ,448
100,6093,Siskiyou CA,Weed CCD,"Carrick CDP, CA",131
100,6093,Siskiyou CA,Weed CCD,"Edgewood CDP, CA",43
100,6093,Siskiyou CA,Weed CCD,"Weed city, CA",2967
100,6093,Siskiyou CA,Weed CCD, ,4090
100,6093,Siskiyou CA,Yreka CCD,"Gazelle CDP, CA",70
100,6093,Siskiyou CA,Yreka CCD,"Grenada CDP, CA",367
100,6093,Siskiyou CA,Yreka CCD,"Yreka city, CA",7765
100,6093,Siskiyou CA,Yreka CCD, ,3321
200,6023,Humboldt CA,Arcata CCD,"Arcata city, CA",17231
200,6023,Humboldt CA,Arcata CCD,"Indianola CDP, CA",569
200,6023,Humboldt CA,Arcata CCD,"Manila CDP, CA",784
200,6023,Humboldt CA,Arcata CCD,"Samoa CDP, CA",258
200,6023,Humboldt CA,Arcata CCD, ,4653
200,6023,Humboldt CA,Eureka CCD,"Bayview CDP, CA",2510
200,6023,Humboldt CA,Eureka CCD,"Cutten CDP, CA",3108
200,6023,Humboldt CA,Eureka CCD,"Eureka city, CA",27191
200,6023,Humboldt CA,Eureka CCD,"Fields Landing CDP, CA",276
200,6023,Humboldt CA,Eureka CCD,"Humboldt Hill CDP, CA",3414
200,6023,Humboldt CA,Eureka CCD,"Indianola CDP, CA",254
200,6023,Humboldt CA,Eureka CCD,"Myrtletown CDP, CA",4675
200,6023,Humboldt CA,Eureka CCD,"Pine Hills CDP, CA",3131
200,6023,Humboldt CA,Eureka CCD, ,3865
200,6023,Humboldt CA,Ferndale CCD,"Ferndale city, CA",1371
200,6023,Humboldt CA,Ferndale CCD, ,1849
200,6023,Humboldt CA,Fortuna CCD,"Fortuna city, CA",11926
200,6023,Humboldt CA,Fortuna CCD,"Hydesville CDP, CA",1237
200,6023,Humboldt CA,Fortuna CCD,"Loleta CDP, CA",783
200,6023,Humboldt CA,Fortuna CCD, ,3901
200,6023,Humboldt CA,Garberville CCD,"Alderpoint CDP, CA",186
200,6023,Humboldt CA,Garberville CCD,"Benbow CDP, CA",321
200,6023,Humboldt CA,Garberville CCD,"Garberville CDP, CA",913
200,6023,Humboldt CA,Garberville CCD,"Miranda CDP, CA",520
200,6023,Humboldt CA,Garberville CCD,"Myers Flat CDP, CA",146
200,6023,Humboldt CA,Garberville CCD,"Phillipsville CDP, CA",140
200,6023,Humboldt CA,Garberville CCD,"Redcrest CDP, CA",89
200,6023,Humboldt CA,Garberville CCD,"Redway CDP, CA",1225
200,6023,Humboldt CA,Garberville CCD,"Rio Dell city, CA",3368
200,6023,Humboldt CA,Garberville CCD,"Scotia CDP, CA",850
200,6023,Humboldt CA,Garberville CCD,"Shelter Cove CDP, CA",693
200,6023,Humboldt CA,Garberville CCD,"Weott CDP, CA",288
200,6023,Humboldt CA,Garberville CCD, ,4779
200,6023,Humboldt CA,North Coastal CCD,"Big Lagoon CDP, CA",93
200,6023,Humboldt CA,North Coastal CCD,"Blue Lake city, CA",1253
200,6023,Humboldt CA,North Coastal CCD,"Fieldbrook CDP, CA",859
200,6023,Humboldt CA,North Coastal CCD,"McKinleyville CDP, CA",15177
200,6023,Humboldt CA,North Coastal CCD,"Orick CDP, CA",357
200,6023,Humboldt CA,North Coastal CCD,"Trinidad city, CA",367
200,6023,Humboldt CA,North Coastal CCD,"Westhaven-Moonstone CDP, CA",1205
200,6023,Humboldt CA,North Coastal CCD, ,2883
200,6023,Humboldt CA,Willow Creek-Hoopa Valley CCD,"Willow Creek CDP, CA",1710
200,6023,Humboldt CA,Willow Creek-Hoopa Valley CCD, ,4215
300,6089,Shasta CA,Central Shasta CCD,"Bella Vista CDP, CA",311
300,6089,Shasta CA,Central Shasta CCD,"Big Bend CDP, CA",102
300,6089,Shasta CA,Central Shasta CCD,"Millville CDP, CA",727
300,6089,Shasta CA,Central Shasta CCD,"Montgomery Creek CDP, CA",163
300,6089,Shasta CA,Central Shasta CCD,"Round Mountain CDP, CA",155
300,6089,Shasta CA,Central Shasta CCD,"Shingletown CDP, CA",2283
300,6089,Shasta CA,Central Shasta CCD, ,7786
300,6089,Shasta CA,East Shasta CCD,"Burney CDP, CA",3154
300,6089,Shasta CA,East Shasta CCD,"Cassel CDP, CA",207
300,6089,Shasta CA,East Shasta CCD,"Fall River Mills CDP, CA",573
300,6089,Shasta CA,East Shasta CCD,"Hat Creek CDP, CA",309
300,6089,Shasta CA,East Shasta CCD,"McArthur CDP, CA",338
300,6089,Shasta CA,East Shasta CCD,"Old Station CDP, CA",51
