puma12,county,county_name,County_Subdivision_Name,Place_Name,Total_pop_2010_census
101,6001,Alameda CA,Berkeley CCD,"Albany city, CA",18539
101,6001,Alameda CA,Berkeley CCD,"Berkeley city, CA",112580
102,6001,Alameda CA,Oakland CCD,"Emeryville city, CA",10080
102,6001,Alameda CA,Oakland CCD,"Oakland city, CA",148011
103,6001,Alameda CA,Oakland CCD,"Oakland city, CA",114562
103,6001,Alameda CA,Oakland CCD,"Piedmont city, CA",10667
103,6001,Alameda CA,Oakland CCD, ,0
104,6001,Alameda CA,Oakland CCD,"Oakland city, CA",124599
104,6001,Alameda CA,Oakland CCD,"San Leandro city, CA",9
105,6001,Alameda CA,Alameda CCD,"Alameda city, CA",73812
105,6001,Alameda CA,Berkeley CCD,"Albany city, CA",0
105,6001,Alameda CA,Berkeley CCD,"Berkeley city, CA",0
105,6001,Alameda CA,Fremont CCD,"Fremont city, CA",0
105,6001,Alameda CA,Hayward CCD,"Castro Valley CDP, CA",1338
105,6001,Alameda CA,Hayward CCD,"Hayward city, CA",0
105,6001,Alameda CA,Hayward CCD,"San Leandro city, CA",84832
105,6001,Alameda CA,Oakland CCD,"Emeryville city, CA",0
105,6001,Alameda CA,Oakland CCD,"Oakland city, CA",3552
106,6001,Alameda CA,Hayward CCD,"Ashland CDP, CA",21925
106,6001,Alameda CA,Hayward CCD,"Castro Valley CDP, CA",56565
106,6001,Alameda CA,Hayward CCD,"Cherryland CDP, CA",13354
106,6001,Alameda CA,Hayward CCD,"Fairview CDP, CA",6616
106,6001,Alameda CA,Hayward CCD,"Hayward city, CA",8526
106,6001,Alameda CA,Hayward CCD,"San Leandro city, CA",109
106,6001,Alameda CA,Hayward CCD,"San Lorenzo CDP, CA",23452
106,6001,Alameda CA,Hayward CCD, ,4205
107,6001,Alameda CA,Hayward CCD,"Castro Valley CDP, CA",3485
107,6001,Alameda CA,Hayward CCD,"Cherryland CDP, CA",1374
107,6001,Alameda CA,Hayward CCD,"Fairview CDP, CA",3387
107,6001,Alameda CA,Hayward CCD,"Hayward city, CA",135656
